,frequency,period,power
0,0.011363961410140552,87.99748291187059,1.0
1,0.022727922820281105,43.998741455935296,1.0
2,0.03409188423042166,29.33249430395686,0.9999999999999999
3,0.04545584564056221,21.999370727967648,1.0
4,0.05681980705070276,17.599496582374115,1.0
5,0.06818376846084331,14.66624715197843,1.0
6,0.07954772987098387,12.571068987410083,0.9999999999999999
7,0.09091169128112442,10.999685363983824,0.9999999999999999
8,0.10227565269126497,9.777498101318955,1.0
9,0.11363961410140552,8.799748291187058,1.0
10,0.12500357551154606,7.999771173806417,1.0
11,0.13636753692168663,7.333123575989215,0.9999999999999999
12,0.1477314983318272,6.7690371470669675,1.0
13,0.15909545974196776,6.285534493705041,1.0
14,0.17045942115210827,5.866498860791372,1.0
15,0.18182338256224884,5.499842681991912,0.9999999999999999
16,0.1931873439723894,5.176322524227681,1.0
17,0.20455130538252997,4.888749050659476,0.9999999999999999
18,0.21591526679267048,4.63144646904582,1.0
19,0.22727922820281105,4.399874145593529,1.0
20,0.2386431896129516,4.190356329136694,0.9999999999999999
21,0.2500071510230922,3.9998855869032077,1.0
22,0.2613711124332327,3.825977517907417,1.0
23,0.27273507384337325,3.6665617879946075,1.0993623093104536
24,0.2840990352535138,3.5198993164748233,0.7954794583197627
25,0.2954629966636544,3.3845185735334837,0.8656057125873161
26,0.30682695807379495,3.259166033772984,1.1279538532190427
27,0.31819091948393546,3.1427672468525207,0.4287631984898435
28,0.32955488089407603,3.0343959624782957,0.5718148890379245
29,0.3409188423042166,2.9332494303956858,1.2664699433807896
30,0.3522828037143571,2.8386284810280835,0.56500551734995
31,0.3636467651244977,2.749921340995956,1.355851149809366
32,0.37501072653463824,2.6665903912688056,0.5833367717451633
33,0.3863746879447788,2.5881612621138403,1.2942882401727411
34,0.39773864935491937,2.5142137974820162,0.32442559978637137
35,0.4091026107650599,2.4443745253297386,1.4756010448478034
36,0.42046657217520045,2.378310348969475,0.36595921685855687
37,0.431830533585341,2.31572323452291,0.710412938021518
38,0.4431944949954815,2.2563457156889895,0.881699669738111
39,0.4545584564056221,2.1999370727967644,1.0103497314837409
40,0.46592241781576266,2.1462800710212337,1.1119200584765638
41,0.4772863792259032,2.095178164568347,0.661188522083553
42,0.4886503406360438,2.0464530909737344,1.669981705289295
43,0.5000143020461842,1.9999427934516043,0.04667891945543529
